TimeSeries ID,instance/cpu/utilization.gce_instance.ALIGN_MEAN.REDUCE_MEAN.resource.type="gce_instance" AND metric.type="compute.googleapis.com/instance/cpu/utilization".name:backup-mt-1.project_id:master-thesis-benchmark.zone:europe-west6-c,instance/cpu/utilization.gce_instance.ALIGN_MEAN.REDUCE_MEAN.resource.type="gce_instance" AND metric.type="compute.googleapis.com/instance/cpu/utilization".name:backup-mt-1-instance-0.project_id:master-thesis-benchmark.zone:europe-west6-c,instance/cpu/utilization.gce_instance.ALIGN_MEAN.REDUCE_MEAN.resource.type="gce_instance" AND metric.type="compute.googleapis.com/instance/cpu/utilization".name:backup-mt-1-instance-1.project_id:master-thesis-benchmark.zone:europe-west6-c,instance/cpu/utilization.gce_instance.ALIGN_MEAN.REDUCE_MEAN.resource.type="gce_instance" AND metric.type="compute.googleapis.com/instance/cpu/utilization".name:backup-mt-1-instance-2.project_id:master-thesis-benchmark.zone:europe-west6-c,instance/cpu/utilization.gce_instance.ALIGN_MEAN.REDUCE_MEAN.resource.type="gce_instance" AND metric.type="compute.googleapis.com/instance/cpu/utilization".name:test.project_id:master-thesis-benchmark.zone:us-central1-a
project_id,master-thesis-benchmark,master-thesis-benchmark,master-thesis-benchmark,master-thesis-benchmark,master-thesis-benchmark
zone,europe-west6-c,europe-west6-c,europe-west6-c,europe-west6-c,us-central1-a
system_labels.name,backup-mt-1,backup-mt-1-instance-0,backup-mt-1-instance-1,backup-mt-1-instance-2,test
Tue Jul 11 2023 16:10:00 GMT+0200 (Central European Summer Time),0.37857247186443904,0.6421992055211492,0.7007164137192975,0.6543022357133692,undefined
Tue Jul 11 2023 16:15:00 GMT+0200 (Central European Summer Time),0.015583945362905069,0.5366826395875318,0.5569115800971842,0.560220121118928,undefined
Tue Jul 11 2023 16:20:00 GMT+0200 (Central European Summer Time),0.022369962985415742,0.5235117401750826,0.5356149501750093,0.5553142719849862,undefined
Tue Jul 11 2023 16:25:00 GMT+0200 (Central European Summer Time),0.027825595543875654,0.610819158423561,0.5939988443796363,0.5638231776761937,undefined
Tue Jul 11 2023 16:30:00 GMT+0200 (Central European Summer Time),0.02509927779673793,0.5438054905329974,0.5451416963210708,0.5348291647610933,undefined
Tue Jul 11 2023 16:35:00 GMT+0200 (Central European Summer Time),0.023826754521736195,0.5186671120308562,0.5124941043959219,0.5198692310501573,undefined
Tue Jul 11 2023 16:40:00 GMT+0200 (Central European Summer Time),0.014793448597968866,0.5384661762629981,0.5623113758128163,0.5108107713555435,undefined
Tue Jul 11 2023 16:45:00 GMT+0200 (Central European Summer Time),0.01015384760105917,0.5337530584582304,0.5374008030943969,0.529734488034034,undefined
Tue Jul 11 2023 16:50:00 GMT+0200 (Central European Summer Time),0.008009005257478444,0.5374373213230228,0.5205118407341812,0.5247042985349518,undefined
Tue Jul 11 2023 16:55:00 GMT+0200 (Central European Summer Time),0.010712821723521605,0.5300378968348233,0.532062877690333,0.5240193483025026,undefined
Tue Jul 11 2023 17:00:00 GMT+0200 (Central European Summer Time),0.008991518749929431,0.5616813215714039,0.5405054976793963,0.523834867103996,undefined
Tue Jul 11 2023 17:05:00 GMT+0200 (Central European Summer Time),0.011365541056129587,0.5372112066426015,0.551215203316884,0.5355272269086306,undefined
Tue Jul 11 2023 17:10:00 GMT+0200 (Central European Summer Time),0.010333300294402457,0.5319050791467353,0.5294525469496822,0.5419633557461794,undefined
Tue Jul 11 2023 17:15:00 GMT+0200 (Central European Summer Time),0.01141568994808343,0.5372383527379906,0.5433555365635827,0.5191721317560791,undefined
Tue Jul 11 2023 17:20:00 GMT+0200 (Central European Summer Time),0.010070921418822158,0.5562595841374575,0.5309315698712408,0.5511505813865096,undefined
Tue Jul 11 2023 17:25:00 GMT+0200 (Central European Summer Time),0.009538875817740215,0.540464741442432,0.528571152555587,0.5388949302059747,undefined
Tue Jul 11 2023 17:30:00 GMT+0200 (Central European Summer Time),0.011160937807456623,0.5420548575301518,0.5452479706005912,0.5798496037298886,undefined
Tue Jul 11 2023 17:35:00 GMT+0200 (Central European Summer Time),0.011179112785212057,0.5386989968179933,0.5643583776768416,0.531348147839467,undefined
Tue Jul 11 2023 17:40:00 GMT+0200 (Central European Summer Time),0.010346449168379573,0.5469017834049934,0.5364136994900022,0.5270875012963627,undefined
Tue Jul 11 2023 17:45:00 GMT+0200 (Central European Summer Time),0.013429579541680142,0.5533646545495018,0.5770781179789658,0.5468266866898679,undefined
Tue Jul 11 2023 17:50:00 GMT+0200 (Central European Summer Time),0.009974743445424487,0.529739029759847,0.5624794900667651,0.5291630882903913,undefined
Tue Jul 11 2023 17:55:00 GMT+0200 (Central European Summer Time),0.009274714983136315,0.534787330051366,0.523789165138622,0.5097680907393715,undefined
Tue Jul 11 2023 18:00:00 GMT+0200 (Central European Summer Time),0.008312041977036038,0.5342507478742193,0.5438792080925758,0.5017945573295765,undefined
Tue Jul 11 2023 18:05:00 GMT+0200 (Central European Summer Time),0.008832885092942888,0.5328775413176572,0.5206849435041537,0.5242775093968113,undefined
Tue Jul 11 2023 18:10:00 GMT+0200 (Central European Summer Time),0.010152454064627819,0.5313903387271299,0.5364647810810235,0.5586518492298091,undefined
Tue Jul 11 2023 18:15:00 GMT+0200 (Central European Summer Time),0.010812508392394496,0.5500661464210543,0.5426903688371764,0.5592109869429107,undefined
Tue Jul 11 2023 18:20:00 GMT+0200 (Central European Summer Time),0.008729508427453158,0.5333703129641436,0.5261605903266838,0.5279021067194389,undefined
